t	x	v
0	9.99902	-0.0981
0.01	9.99706	-0.1962
0.02	9.99411	-0.2943
0.03	9.99019	-0.3924
0.04	9.98528	-0.4905
0.05	9.9794	-0.5886
0.06	9.97253	-0.6867
0.07	9.96468	-0.7848
0.08	9.95585	-0.8829
0.09	9.94604	-0.981
0.1	9.93525	-1.0791
0.11	9.92348	-1.1772
0.12	9.91073	-1.2753
0.13	9.897	-1.3734
0.14	9.88228	-1.4715
0.15	9.86658	-1.5696
0.16	9.84991	-1.6677
0.17	9.83225	-1.7658
0.18	9.81361	-1.8639
0.19	9.79399	-1.962
0.2	9.77339	-2.0601
0.21	9.75181	-2.1582
0.22	9.72924	-2.2563
0.23	9.7057	-2.3544
0.24	9.68117	-2.4525
0.25	9.65567	-2.5506
0.26	9.62918	-2.6487
0.27	9.60171	-2.7468
0.28	9.57326	-2.8449
0.29	9.54383	-2.943
0.3	9.51342	-3.0411
0.31	9.48203	-3.1392
0.32	9.44966	-3.2373
0.33	9.4163	-3.3354
0.34	9.38197	-3.4335
0.35	9.34665	-3.5316
0.36	9.31036	-3.6297
0.37	9.27308	-3.7278
0.38	9.23482	-3.8259
0.39	9.19558	-3.924
0.4	9.15536	-4.0221
0.41	9.11416	-4.1202
0.42	9.07197	-4.2183
0.43	9.02881	-4.3164
0.44	8.98466	-4.4145
0.45	8.93954	-4.5126
0.46	8.89343	-4.6107
0.47	8.84634	-4.7088
0.48	8.79827	-4.8069
0.49	8.74922	-4.905
0.5	8.69919	-5.0031
0.51	8.64818	-5.1012
0.52	8.59619	-5.1993
0.53	8.54321	-5.2974
0.54	8.48926	-5.3955
0.55	8.43432	-5.4936
0.56	8.37841	-5.5917
0.57	8.32151	-5.6898
0.58	8.26363	-5.7879
0.59	8.20477	-5.886
0.6	8.14493	-5.9841
0.61	8.08411	-6.0822
0.62	8.0223	-6.1803
0.63	7.95952	-6.2784
0.64	7.89576	-6.3765
0.65	7.83101	-6.4746
0.66	7.76528	-6.5727
0.67	7.69857	-6.6708
0.68	7.63089	-6.7689
0.69	7.56222	-6.867
0.7	7.49256	-6.9651
0.71	7.42193	-7.0632
0.72	7.35032	-7.1613
0.73	7.27773	-7.2594
0.74	7.20415	-7.3575
0.75	7.12959	-7.4556
0.76	7.05406	-7.5537
0.77	6.97754	-7.6518
0.78	6.90004	-7.7499
0.79	6.82156	-7.848
0.8	6.7421	-7.9461
0.81	6.66166	-8.0442
0.82	6.58023	-8.1423
0.83	6.49783	-8.2404
0.84	6.41445	-8.3385
0.85	6.33008	-8.4366
0.86	6.24473	-8.5347
0.87	6.1584	-8.6328
0.88	6.0711	-8.7309
0.89	5.98281	-8.829
0.9	5.89353	-8.9271
0.91	5.80328	-9.0252
0.92	5.71205	-9.1233
0.93	5.61984	-9.2214
0.94	5.52664	-9.3195
0.95	5.43246	-9.4176
0.96	5.33731	-9.5157
0.97	5.24117	-9.6138
0.98	5.14405	-9.7119
0.99	5.04595	-9.81
1	4.94687	-9.9081
1.01	4.84681	-10.0062
1.02	4.74576	-10.1043
1.03	4.64374	-10.2024
1.04	4.54074	-10.3005
1.05	4.43675	-10.3986
1.06	4.33178	-10.4967
1.07	4.22583	-10.5948
1.08	4.11891	-10.6929
1.09	4.011	-10.791
1.1	3.9021	-10.8891
1.11	3.79223	-10.9872
1.12	3.68138	-11.0853
1.13	3.56955	-11.1834
1.14	3.45673	-11.2815
1.15	3.34293	-11.3796
1.16	3.22816	-11.4777
1.17	3.1124	-11.5758
1.18	2.99566	-11.6739
1.19	2.87794	-11.772
1.2	2.75924	-11.8701
1.21	2.63956	-11.9682
1.22	2.51889	-12.0663
1.23	2.39725	-12.1644
1.24	2.27463	-12.2625
1.25	2.15102	-12.3606
1.26	2.02643	-12.4587
1.27	1.90086	-12.5568
1.28	1.77432	-12.6549
1.29	1.64679	-12.753
1.3	1.51827	-12.8511
1.31	1.38878	-12.9492
1.32	1.25831	-13.0473
1.33	1.12686	-13.1454
1.34	0.99442	-13.2435
1.35	0.861004	-13.3416
1.36	0.726607	-13.4397
